Date,Open,High,Low,Close,Volume,Ex_Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,document_type,10-K,10-K405,10-Q,424B2,424B3,424B5,8-A12B,8-K,CERTNYS,CORRESP,DEF 14A,DEFA14A,DEFR14A,DFAN14A,FWP,NO ACT,NT 10-K,NT 10-Q,PRE 14A,PX14A6G,S-3,S-3ASR,S-4,S-8,SC 13D,SC 13G,SC TO-I,SD,UPLOAD
1997-12-18,14.0,14.0,13.75,13.81,1804000.0,0.0,1.0,0.44979878177694,0.44979878177694,0.44176666067379,0.44369436973854,50512000.0,424B3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-01-06,15.94,20.0,14.75,18.94,16182800.0,0.0,1.0,0.51212804153746,0.64256968825278,0.47389514508642,0.60851349477538,453118400.0,S-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1998-01-08,17.44,18.62,16.94,18.19,6910900.0,0.0,1.0,0.5603207681564201,0.59823237976334,0.5442565259501,0.5844171314659,193505200.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-01-23,19.37,19.69,19.25,19.5,2081800.0,0.0,1.0,0.6223287430728199,0.63260985808486,0.6184733249433,0.62650544604646,58290400.0,10-K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-02-09,18.37,19.5,18.37,19.19,4416700.0,0.0,1.0,0.59020025866018,0.62650544604646,0.59020025866018,0.6165456158785401,123667600.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-03-16,27.12,27.25,26.19,26.69,3592500.0,0.0,1.0,0.8713244972707701,0.87550120024441,0.84144500676701,0.8575092489733299,100590000.0,DEF 14A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-05-11,30.87,31.62,30.75,30.94,5937700.0,0.0,1.0,0.99180631381816,1.0159026771276,0.98795089568865,0.99405530772705,166255600.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-07-31,36.63,36.75,34.5,34.63,1634900.0,0.0,1.0,1.176866384035,1.1807218021645,1.108432712236,1.1126094152097,45777200.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998-08-10,36.31,38.06,36.25,37.94,4362500.0,0.0,1.0,1.1665852690229,1.222810116745,1.1646575599582,1.2189546986155,122150000.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1998-08-10,36.31,38.06,36.25,37.94,4362500.0,0.0,1.0,1.1665852690229,1.222810116745,1.1646575599582,1.2189546986155,122150000.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-12-23,38.63,40.5,38.38,39.81,11027100.0,0.0,1.0,1.2411233528602,1.3012036187119,1.2330912317571,1.2790349644672,308758800.0,10-K405,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-12-23,38.63,40.5,38.38,39.81,11027100.0,0.0,1.0,1.2411233528602,1.3012036187119,1.2330912317571,1.2790349644672,308758800.0,8-K,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-01-07,42.25,45.06,42.13,45.0,12759100.0,0.0,1.0,1.3574284664340002,1.4477095076335,1.3535730483045,1.4457817985688002,357254800.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
