document_type,description,file_number
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005903 (33 Act)  Size: 196 KB,333-22267218925911
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007885 (33 Act)  Size: 286 KB,333-22267218925321
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007889 (33 Act)  Size: 142 KB,333-22267218925377
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007890 (33 Act)  Size: 153 KB,333-22267218925393
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005894 (34 Act)  Size: 1 MB,333-22267218925672
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0000019617-18-000145 (34 Act)  Size: 62 KB",001-0580518925805
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005898 (33 Act)  Size: 141 KB,333-22267218925819
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005899 (33 Act)  Size: 222 KB,333-22267218925831
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005900 (33 Act)  Size: 343 KB,333-22267218925869
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005901 (33 Act)  Size: 513 KB,333-22267218925874
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007902 (33 Act)  Size: 144 KB,333-22267218925902
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005855 (33 Act)  Size: 241 KB,333-22267218924910
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005878 (33 Act)  Size: 309 KB,333-22267218925259
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005853 (33 Act)  Size: 133 KB,333-22267218924873
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005893 (33 Act)  Size: 207 KB,333-22267218925656
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005009 (33 Act)  Size: 132 KB,333-22267218924835
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005794 (34 Act)  Size: 1 MB,333-22267218922638
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-007867 (33 Act)  Size: 298 KB,333-22267218924860
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005802 (33 Act)  Size: 100 KB,333-22267218922784
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005803 (33 Act)  Size: 450 KB,333-22267218922788
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005804 (33 Act)  Size: 187 KB,333-22267218922815
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-004989 (33 Act)  Size: 162 KB,333-22267218923816
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005814 (33 Act)  Size: 506 KB,333-22267218924005
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005815 (33 Act)  Size: 314 KB,333-22267218924010
